epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,9928.02,0.5377,0.61997,1.65299,0.99245,0.98806,0.99453,0.83716,0.44594,0.34555,1.6558,0.00282034,0.00282034,0.00282034
69,10073,0.53432,0.60674,1.65056,0.9942,0.98807,0.99464,0.83966,0.44278,0.34298,1.65122,0.00273781,0.00273781,0.00273781
70,10219.6,0.53018,0.59853,1.63692,0.99447,0.98811,0.99475,0.84199,0.44188,0.34131,1.64899,0.00265528,0.00265528,0.00265528
71,10365.6,0.52898,0.59594,1.63608,0.99455,0.98726,0.99476,0.84136,0.43961,0.33611,1.64343,0.00257274,0.00257274,0.00257274
72,10510,0.5234,0.59166,1.63188,0.99288,0.99052,0.99468,0.84108,0.43838,0.33801,1.64145,0.00249021,0.00249021,0.00249021
73,10653.5,0.52019,0.58071,1.62772,0.99487,0.98647,0.99466,0.84197,0.43535,0.33439,1.63806,0.00240768,0.00240768,0.00240768
74,10798.1,0.51607,0.58144,1.62398,0.99617,0.98659,0.99459,0.8451,0.43293,0.33216,1.63445,0.00232515,0.00232515,0.00232515
75,10943.8,0.5107,0.57061,1.62045,0.99546,0.98686,0.99467,0.8481,0.4297,0.33032,1.63163,0.00224261,0.00224261,0.00224261
76,11089.3,0.51467,0.57101,1.62168,0.99429,0.98847,0.99476,0.84705,0.42996,0.32879,1.63124,0.00216008,0.00216008,0.00216008
77,11233.8,0.50723,0.55873,1.61721,0.99551,0.9889,0.99478,0.84965,0.42728,0.32643,1.62638,0.00207755,0.00207755,0.00207755
78,11379.6,0.50425,0.55216,1.60958,0.99544,0.98794,0.99482,0.8494,0.42704,0.32653,1.62494,0.00199502,0.00199502,0.00199502
79,11523.2,0.49978,0.54334,1.59882,0.99273,0.99112,0.99487,0.85143,0.42642,0.3258,1.6234,0.00191249,0.00191249,0.00191249
80,11668.5,0.4981,0.54292,1.60299,0.99568,0.98951,0.99488,0.85216,0.42408,0.32507,1.61763,0.00182995,0.00182995,0.00182995
81,11814.6,0.49545,0.53802,1.59686,0.99578,0.98901,0.99478,0.85466,0.42234,0.32496,1.61356,0.00174742,0.00174742,0.00174742
82,11959.5,0.49032,0.53213,1.58843,0.99355,0.99188,0.99479,0.8551,0.42027,0.32198,1.60998,0.00166489,0.00166489,0.00166489
83,12105.9,0.48422,0.52257,1.58506,0.99178,0.99295,0.99474,0.85566,0.41883,0.31924,1.6072,0.00158236,0.00158236,0.00158236
84,12251.8,0.48446,0.52371,1.58275,0.99375,0.99009,0.99474,0.85652,0.41754,0.31772,1.60362,0.00149982,0.00149982,0.00149982
85,12397.9,0.48181,0.51873,1.57836,0.99375,0.99071,0.99475,0.85613,0.41637,0.31822,1.60215,0.00141729,0.00141729,0.00141729
86,12541.9,0.474,0.5048,1.56966,0.99415,0.99074,0.9948,0.85671,0.41599,0.31706,1.60151,0.00133476,0.00133476,0.00133476
87,12687.1,0.47888,0.50477,1.57819,0.99033,0.99579,0.99479,0.85845,0.41383,0.31569,1.59708,0.00125223,0.00125223,0.00125223
88,12827.5,0.47334,0.50059,1.57531,0.98944,0.99668,0.99479,0.86,0.41221,0.3139,1.59404,0.0011697,0.0011697,0.0011697
89,12969.4,0.46495,0.49291,1.56056,0.98877,0.99634,0.99477,0.85951,0.41078,0.31257,1.59166,0.00108716,0.00108716,0.00108716
90,13108.4,0.46057,0.49049,1.56013,0.98875,0.99665,0.99482,0.86007,0.40927,0.31095,1.58913,0.00100463,0.00100463,0.00100463
91,13286.8,0.40068,0.34081,1.55741,0.99127,0.99623,0.99492,0.86228,0.40685,0.30813,1.5828,0.000922099,0.000922099,0.000922099
92,13430.6,0.38303,0.3182,1.5308,0.99202,0.99627,0.99492,0.85847,0.41509,0.30999,1.59992,0.000839567,0.000839567,0.000839567
93,13569.6,0.37598,0.3133,1.51598,0.99333,0.99634,0.99495,0.85687,0.41841,0.31088,1.60678,0.000757034,0.000757034,0.000757034
94,13708.8,0.3623,0.30592,1.49028,0.99326,0.99695,0.99492,0.8605,0.41236,0.30678,1.5953,0.000674502,0.000674502,0.000674502
95,13847.7,0.35763,0.29547,1.47992,0.99294,0.9971,0.99491,0.86417,0.40484,0.30186,1.58159,0.00059197,0.00059197,0.00059197
96,13988.5,0.3495,0.29021,1.46648,0.99228,0.99736,0.99495,0.86919,0.39671,0.29645,1.56592,0.000509438,0.000509438,0.000509438
97,14128.8,0.34473,0.28534,1.45514,0.99209,0.99693,0.99493,0.87133,0.39144,0.29317,1.5554,0.000426905,0.000426905,0.000426905
98,14269.5,0.33979,0.28283,1.44997,0.99101,0.99794,0.99494,0.87392,0.38737,0.29045,1.54757,0.000344373,0.000344373,0.000344373
99,14409.5,0.33478,0.27706,1.44114,0.99125,0.99827,0.99496,0.87562,0.38377,0.2877,1.54089,0.000261841,0.000261841,0.000261841
100,14550.9,0.32975,0.27548,1.43234,0.99149,0.99801,0.99496,0.87679,0.3803,0.28575,1.53472,0.000179309,0.000179309,0.000179309
